1771585675.870913 server started (72488): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1771585675.870951 on Darwin 25.3.0 Darwin Kernel Version 25.3.0: Wed Jan 28 20:48:41 PST 2026; root:xnu-12377.81.4~5/RELEASE_ARM64_T6041
1771585675.870959 using libevent 2.1.12-stable select
1771585675.870969 using utf8proc 2.11.3
1771585675.870976 using ncurses 6.5 20240427
1771585675.871027 input_key_build: 0x10e003 (PasteStart) is \033[200~
1771585675.871033 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1771585675.871050 input_key_build: 0x10e25b (F1) is \033OP
1771585675.871055 input_key_build: 0x10e25c (F2) is \033OQ
1771585675.871059 input_key_build: 0x10e25d (F3) is \033OR
1771585675.871064 input_key_build: 0x10e25e (F4) is \033OS
1771585675.871068 input_key_build: 0x10e25f (F5) is \033[15~
1771585675.871071 input_key_build: 0x10e260 (F6) is \033[17~
1771585675.871074 input_key_build: 0x10e261 (F7) is \033[18~
1771585675.871078 input_key_build: 0x10e262 (F8) is \033[19~
1771585675.871082 input_key_build: 0x10e263 (F9) is \033[20~
1771585675.871084 input_key_build: 0x10e264 (F10) is \033[21~
1771585675.871090 input_key_build: 0x10e265 (F11) is \033[23~
1771585675.871139 input_key_build: 0x10e266 (F12) is \033[24~
1771585675.871145 input_key_build: 0x10e267 (IC) is \033[2~
1771585675.871149 input_key_build: 0x10e268 (DC) is \033[3~
1771585675.871152 input_key_build: 0x10e269 (Home) is \033[1~
1771585675.871154 input_key_build: 0x10e26a (End) is \033[4~
1771585675.871157 input_key_build: 0x10e26b (NPage) is \033[6~
1771585675.871164 input_key_build: 0x10e26c (PPage) is \033[5~
1771585675.871168 input_key_build: 0x10e26d (BTab) is \033[Z
1771585675.871172 input_key_build: 0x10e26e (Up) is \033[A
1771585675.871199 input_key_build: 0x10e26f (Down) is \033[B
1771585675.871204 input_key_build: 0x10e270 (Left) is \033[D
1771585675.871207 input_key_build: 0x10e271 (Right) is \033[C
1771585675.871211 input_key_build: 0x10e272 (KP/) is /
1771585675.871215 input_key_build: 0x10e273 (KP*) is *
1771585675.871219 input_key_build: 0x10e274 (KP-) is -
1771585675.871223 input_key_build: 0x10e275 (KP7) is 7
1771585675.871228 input_key_build: 0x10e276 (KP8) is 8
1771585675.871234 input_key_build: 0x10e277 (KP9) is 9
1771585675.871238 input_key_build: 0x10e278 (KP+) is +
1771585675.871243 input_key_build: 0x10e279 (KP4) is 4
1771585675.871248 input_key_build: 0x10e27a (KP5) is 5
1771585675.871252 input_key_build: 0x10e27b (KP6) is 6
1771585675.871258 input_key_build: 0x10e27c (KP1) is 1
1771585675.871267 input_key_build: 0x10e27d (KP2) is 2
1771585675.871286 input_key_build: 0x10e27e (KP3) is 3
1771585675.871290 input_key_build: 0x10e27f (KPEnter) is \n
1771585675.871296 input_key_build: 0x10e280 (KP0) is 0
1771585675.871303 input_key_build: 0x10e281 (KP.) is .
1771585675.871307 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1771585675.871310 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1771585675.871313 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1771585675.871315 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1771585675.871317 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1771585675.871320 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1771585675.871322 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1771585675.871324 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1771585675.871328 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1771585675.871331 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1771585675.871334 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1771585675.871336 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1771585675.871338 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1771585675.871341 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1771585675.871343 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1771585675.871346 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1771585675.871348 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1771585675.871350 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1771585675.871352 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1771585675.871359 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1771585675.871361 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1771585675.871363 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1771585675.871365 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1771585675.871367 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1771585675.871369 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1771585675.871370 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1771585675.871373 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1771585675.871376 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1771585675.871377 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1771585675.871379 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1771585675.871381 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1771585675.871383 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1771585675.871384 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1771585675.871386 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1771585675.871388 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1771585675.871389 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1771585675.871391 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1771585675.871393 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1771585675.871395 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1771585675.871397 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1771585675.871399 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1771585675.871401 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1771585675.871403 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1771585675.871404 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1771585675.871406 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1771585675.871408 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1771585675.871410 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1771585675.871412 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1771585675.871415 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1771585675.871418 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1771585675.871422 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1771585675.871429 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1771585675.871431 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1771585675.871434 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1771585675.871457 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1771585675.871465 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1771585675.871471 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1771585675.871477 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1771585675.871484 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1771585675.871489 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1771585675.871494 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1771585675.871499 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1771585675.871506 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1771585675.871513 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1771585675.871519 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1771585675.871524 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1771585675.871529 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1771585675.871534 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1771585675.871541 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1771585675.871544 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1771585675.871549 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1771585675.871553 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1771585675.871558 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1771585675.871564 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1771585675.871572 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1771585675.871586 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1771585675.871591 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1771585675.871596 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1771585675.871601 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1771585675.871606 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1771585675.871611 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1771585675.871616 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1771585675.871621 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
